,,,RA,,,,DEC,F60,,,,,,,F100,T,B,,M,
4,39,52.93,69.9705416666667,45,15,18.8,45.2552222222222,4.9827,4,39,53.3,45,15,18.8,23.149,23.4712640718119,8.651596988521E-16,8.651596988521,2.55008792239939E+028,2.55008792239939
4,39,53.7,69.97375,45,13,43.7,45.2288055555556,4.9046,4,39,53.7,45,13,43.7,23.005,23.4165408114208,8.52824876810307E-16,8.52824876810307,2.58546100423056E+028,2.58546100423056
4,39,53.71,69.9737916666667,45,12,8.7,45.2024166666667,4.8982,4,39,53.71,45,12,8.7,22.908,23.4332291413974,8.56573780971118E-16,8.56573780971118,2.57264351188257E+028,2.57264351188257
4,39,54.86,69.9785833333333,45,10,17.8,45.1716111111111,4.7008,4,39,54.86,45,10,17.8,22.28,23.357182161275,8.39580523615565E-16,8.39580523615565,2.62292551962924E+028,2.62292551962924
4,39,55.99,69.9832916666667,45,9,10.5,45.1529166666667,4.4667,4,39,55.99,45,9,10.5,21.57,23.2514109525118,8.16327480269087E-16,8.16327480269087,2.69652298028352E+028,2.69652298028352
4,39,56.75,69.9864583333333,45,8,3.2,45.1342222222222,4.4367,4,39,56.75,45,7,55.3,21.459,23.2425181983949,8.14392645984094E-16,8.14392645984094,2.70181029954082E+028,2.70181029954082
4,39,57.15,69.988125,45,6,20.3,45.1056388888889,4.5434,4,39,57.15,45,6,20.3,21.607,23.3379614029987,8.35321984839624E-16,8.35321984839624,2.6324471463305E+028,2.6324471463305
4,39,57.16,69.9881666666667,45,4,45.2,45.0792222222222,4.7041,4,39,57.16,45,4,45.2,22.09,23.409959763264,8.51349556142957E-16,8.51349556142957,2.58137579663048E+028,2.58137579663048
4,39,57.18,69.98825,45,3,18.1,45.0550277777778,4.7174,4,39,57.55,45,3,18.1,22.064,23.4328223629221,8.56482268881972E-16,8.56482268881972,2.56452902447739E+028,2.56452902447739
4,39,59.06,69.9960833333333,45,2,6.9,45.03525,4.5138,4,39,59.06,45,2,6.9,21.514,23.3253570021951,8.32537332283606E-16,8.32537332283606,2.63713033359939E+028,2.63713033359939
4,40,0.94,70.0039166666667,45,0,31.9,45.0088611111111,4.4876,4,40,0.94,45,0,31.9,21.728,23.2366086683496,8.13108609800786E-16,8.13108609800786,2.69856073838636E+028,2.69856073838636
4,40,1.33,70.0055416666667,44,58,45,44.9791666666667,4.462,4,40,1.33,44,58,45,22.232,23.0765696323005,7.78856453858548E-16,7.78856453858548,2.81537801783437E+028,2.81537801783437
4,40,1.34,70.0055833333333,44,57,41.6,44.9615555555556,4.65,4,40,1.71,44,57,37.6,23.299,23.0455050710203,7.72323872664933E-16,7.72323872664933,2.83807979931103E+028,2.83807979931103
4,39,45.06,69.93775,45,14,58.8,45.2496666666667,5.0135,4,39,45.06,45,14,54.8,23.314,23.4658705391365,8.63938646706114E-16,8.63938646706114,2.5533786097045E+028,2.5533786097045
4,39,45.45,69.939375,45,13,27.7,45.2243611111111,4.979,4,39,45.83,45,13,27.7,23.195,23.4556197561721,8.61621168247105E-16,8.61621168247105,2.55881456139444E+028,2.55881456139444
4,39,45.1,69.9379166666667,45,12,4.5,45.20125,4.8627,4,39,45.47,45,12,4.6,22.905,23.3924426661785,8.47431052054211E-16,8.47431052054211,2.60033202543135E+028,2.60033202543135
4,39,46.61,69.9442083333333,45,10,41.4,45.1781666666667,4.6597,4,39,46.61,45,10,41.4,22.214,23.3241831280542,8.32278312882609E-16,8.32278312882609,2.64632243371855E+028,2.64632243371855
4,39,47.76,69.949,45,9,6.4,45.1517777777778,4.4777,4,39,47.76,45,9,6.4,21.431,23.3017792586375,8.27345298824539E-16,8.27345298824539,2.66054607579126E+028,2.66054607579126
4,39,48.15,69.950625,45,7,23.5,45.1231944444444,4.3816,4,39,48.15,45,7,23.5,21.131,23.2588829037719,8.17955597619612E-16,8.17955597619612,2.6893841560371E+028,2.6893841560371
4,39,49.29,69.955375,45,6,24.1,45.1066944444444,4.4137,4,39,49.66,45,6,20.1,21.299,23.2553919868471,8.17194662190434E-16,8.17194662190434,2.69090406031118E+028,2.69090406031118
4,39,49.31,69.9554583333333,45,4,45.1,45.0791944444445,4.6002,4,39,49.31,45,4,41.1,21.529,23.4293248959357,8.55695724338285E-16,8.55695724338285,2.56826313606629E+028,2.56826313606629
4,39,50.08,69.9586666666667,45,3,6.1,45.0516944444444,4.4967,4,39,50.08,45,3,6.1,21.601,23.2810580292605,8.22800483014036E-16,8.22800483014036,2.66931191680499E+028,2.66931191680499
4,39,51.59,69.9649583333333,45,1,46.9,45.0296944444444,4.3666,4,39,51.59,45,1,46.9,21.502,23.1420691216316,7.92753626250728E-16,7.92753626250728,2.76913096545298E+028,2.76913096545298
4,39,54.59,69.9774583333334,45,0,27.8,45.0077222222222,4.355,4,39,54.22,45,0,23.8,21.626,23.0952449175152,7.82801767746101E-16,7.82801767746101,2.80296690552879E+028,2.80296690552879
4,39,53.86,69.9744166666667,44,59,12.5,44.9868055555556,4.3281,4,39,54.23,44,59,12.6,22.519,22.8388779022614,7.29821531556046E-16,7.29821531556046,3.00504664113726E+028,3.00504664113726
4,39,54.25,69.9760416666667,44,57,49.4,44.9637222222222,4.5025,4,39,54.25,44,57,45.4,23.122,22.9101642538484,7.44299172049886E-16,7.44299172049886,2.94508242226334E+028,2.94508242226334
4,39,37.23,69.905125,45,12,12.2,45.2033888888889,4.8892,4,39,37.6,45,12,8.3,23.27,23.3334541839667,8.3432549370815E-16,8.3432549370815,2.64130293680527E+028,2.64130293680527
4,39,38.75,69.9114583333333,45,10,33.3,45.1759166666667,4.686,4,39,39.13,45,10,33.3,22.157,23.3707299364186,8.42590990744318E-16,8.42590990744318,2.61380326293783E+028,2.61380326293783
4,39,39.52,69.9146666666667,45,9,10.2,45.1528333333333,4.5149,4,39,39.52,45,9,6.2,21.667,23.2866402848218,8.24023174040059E-16,8.24023174040059,2.67133475945135E+028,2.67133475945135
4,39,39.17,69.9132083333334,45,7,31.1,45.1253055555556,4.3897,4,39,39.17,45,7,31.1,21.175,23.2575691351518,8.17669171370112E-16,8.17669171370112,2.69045210483252E+028,2.69045210483252
4,39,39.57,69.914875,45,6,15.9,45.1044166666667,4.3971,4,39,39.57,45,6,12,21.096,23.2881604910261,8.24356361062995E-16,8.24356361062995,2.66739179155033E+028,2.66739179155033
4,39,40.72,69.9196666666667,45,4,25.1,45.0736388888889,4.417,4,39,40.72,45,4,25.1,21.179,23.2914874454959,8.25085856356682E-16,8.25085856356682,2.66321489961968E+028,2.66321489961967
4,39,41.86,69.9244166666667,45,3,5.9,45.0516388888889,4.3714,4,39,41.48,45,3,5.9,21.036,23.2711473698615,8.20632771172773E-16,8.20632771172773,2.67635963762399E+028,2.67635963762399
4,39,42.62,69.9275833333333,45,1,38.8,45.0274444444444,4.3,4,39,42.62,45,1,42.8,21.412,23.0798934555404,7.79557645957485E-16,7.79557645957485,2.8158647872419E+028,2.8158647872419
